"ID","Country","Code","Subregion"
1,"Afghanistan","AFG","Southern Asia"
2,"Albania","ALB","Southern Europe"
3,"Algeria","DZA","Northern Africa"
4,"American Samoa","ASM","Polynesia"
5,"Andorra","AND","Southern Europe"
6,"Angola","AGO","Sub-Saharan Africa"
7,"Antigua & Barbuda","ATG","Latin America and the Caribbean"
8,"Argentina","ARG","Latin America and the Caribbean"
9,"Armenia","ARM","Western Asia"
10,"Aruba","ABW","Latin America and the Caribbean"
11,"Australia","AUS","Australia and New Zealand"
12,"Austria","AUT","Western Europe"
13,"Azerbaijan","AZE","Western Asia"
14,"Bahamas","BHS","Latin America and the Caribbean"
15,"Bahrain","BHR","Western Asia"
16,"Bangladesh","BGD","Southern Asia"
17,"Barbados","BRB","Latin America and the Caribbean"
18,"Belarus","BLR","Eastern Europe"
19,"Belgium","BEL","Western Europe"
20,"Belize","BLZ","Latin America and the Caribbean"
21,"Benin","BEN","Sub-Saharan Africa"
22,"Bermuda","BMU","Northern America"
23,"Bhutan","BTN","Southern Asia"
24,"Bolivia","BOL","Latin America and the Caribbean"
25,"Bosnia & Herzegovina","BIH","Southern Europe"
26,"Botswana","BWA","Sub-Saharan Africa"
27,"Brazil","BRA","Latin America and the Caribbean"
28,"British Virgin Islands","VGB","Latin America and the Caribbean"
29,"Brunei","BRN","South-eastern Asia"
30,"Bulgaria","BGR","Eastern Europe"
31,"Burkina Faso","BFA","Sub-Saharan Africa"
32,"Burundi","BDI","Sub-Saharan Africa"
33,"Cambodia","KHM","South-eastern Asia"
34,"Cameroon","CMR","Sub-Saharan Africa"
35,"Canada","CAN","Northern America"
36,"Cape Verde","CPV","Sub-Saharan Africa"
37,"Cayman Islands","CYM","Latin America and the Caribbean"
38,"Central African Republic","CAF","Sub-Saharan Africa"
39,"Chad","TCD","Sub-Saharan Africa"
40,"Channel Islands","CHI",""
41,"Chile","CHL","Latin America and the Caribbean"
42,"China","CHN","Eastern Asia"
43,"Colombia","COL","Latin America and the Caribbean"
44,"Comoros","COM","Sub-Saharan Africa"
45,"Congo - Brazzaville","COG","Sub-Saharan Africa"
46,"Congo - Kinshasa","COD","Sub-Saharan Africa"
47,"Costa Rica","CRI","Latin America and the Caribbean"
48,"Croatia","HRV","Southern Europe"
49,"Cuba","CUB","Latin America and the Caribbean"
50,"Curaçao","CUW","Latin America and the Caribbean"
51,"Cyprus","CYP","Western Asia"
52,"Czechia","CZE","Eastern Europe"
53,"Côte d’Ivoire","CIV","Sub-Saharan Africa"
54,"Denmark","DNK","Northern Europe"
55,"Djibouti","DJI","Sub-Saharan Africa"
56,"Dominica","DMA","Latin America and the Caribbean"
57,"Dominican Republic","DOM","Latin America and the Caribbean"
58,"Ecuador","ECU","Latin America and the Caribbean"
59,"Egypt","EGY","Northern Africa"
60,"El Salvador","SLV","Latin America and the Caribbean"
61,"Equatorial Guinea","GNQ","Sub-Saharan Africa"
62,"Eritrea","ERI","Sub-Saharan Africa"
63,"Estonia","EST","Northern Europe"
64,"Eswatini","SWZ","Sub-Saharan Africa"
65,"Ethiopia","ETH","Sub-Saharan Africa"
66,"Faroe Islands","FRO","Northern Europe"
67,"Fiji","FJI","Melanesia"
68,"Finland","FIN","Northern Europe"
69,"France","FRA","Western Europe"
70,"French Polynesia","PYF","Polynesia"
71,"Gabon","GAB","Sub-Saharan Africa"
72,"Gambia","GMB","Sub-Saharan Africa"
73,"Georgia","GEO","Western Asia"
74,"Germany","DEU","Western Europe"
75,"Ghana","GHA","Sub-Saharan Africa"
76,"Gibraltar","GIB","Southern Europe"
77,"Greece","GRC","Southern Europe"
78,"Greenland","GRL","Northern America"
79,"Grenada","GRD","Latin America and the Caribbean"
80,"Guam","GUM","Micronesia"
81,"Guatemala","GTM","Latin America and the Caribbean"
82,"Guinea","GIN","Sub-Saharan Africa"
83,"Guinea-Bissau","GNB","Sub-Saharan Africa"
84,"Guyana","GUY","Latin America and the Caribbean"
85,"Haiti","HTI","Latin America and the Caribbean"
86,"Honduras","HND","Latin America and the Caribbean"
87,"Hong Kong SAR China","HKG","Eastern Asia"
88,"Hungary","HUN","Eastern Europe"
89,"Iceland","ISL","Northern Europe"
90,"India","IND","Southern Asia"
91,"Indonesia","IDN","South-eastern Asia"
92,"Iran","IRN","Southern Asia"
93,"Iraq","IRQ","Western Asia"
94,"Ireland","IRL","Northern Europe"
95,"Isle of Man","IMN","Northern Europe"
96,"Israel","ISR","Western Asia"
